List of Approved ARTS Courses ,,,,,,
,,,,,,
Department/Program,Course #,Name of Course,Instructor,Credit hours,Year approved,Year of reapplication
RELS,280,Asian Religious Traditions,Zubko,4,,
RELS,326,Religion and Dance in South Asia,Zubko,4,,
,,,,,,
Sociology,,,,,,
SOC,374,Representation and Resistance in the Arts,Peterson,4,,
SOC,374,Pop Culture and Society,Amord,4,Summer 2025,
,,,,,,
Spanish,,,,,,
SPAN,373,Where is Cuba? A Transistional Study Through Arts,Adell,3,,
SPAN,374,"Cuba today: Visual art, Literature and History",Cebria,4,,
SPAN,374,Decolonizing Spain and Portugal: Expressions in Art and Culture,Trautmann,4,,
SPAN,491,"The Post-Dictatoriship: La Movida en la Transición, 1973-1993",Gant,4,,
SPAN,491,Spanish and Latin American Film,Adell,4,Fall 2024,
SPAN,332,Survey of Spanish-American Civilization and Literature,Adell,4,,
